objectid,name,year
7611,Look-a-Likes,1974
9581,Into the Forest,1974
3378,The Inventors,1974
3574,Tank! Armored Combat in the 20th Century,1974
2367,Haunted Wood,1974
2094,4 First Games,1974
10613,Spielhaus,1974
4240,Combined Arms,1974
1502,Hotel Tycoon,1974
2719,Connect Four,1974
616,What's That on My Head?,1974
2017,Tempo,1974
2257,Weekend in Vegas,1974
2466,Imagic,1974
3588,Mini Mind Mover 3,1974
3769,Cross Up,1974
3809,Harvey Smith's Show Jumping,1974
4032,Battlewagon Salvo,1974
4033,Rosetta,1974
4057,1776  The Birth Of A Nation,1974
3986,Battle for Germany,1975
706,Frederick the Great  The Campaigns of The Soldier King 1756-1759,1975
5297,World War I  Deluxe Edition,1975
1339,Dungeon!,1975
1708,Stellar Conquest,1975
1275,221B Baker Street  The Master Detective Game,1975
5455,Tobruk   Tank Battles in North Africa 1942,1975
1302,Cosmic Wimpout,1975
15274,La Bataille de la Moskowa,1975
7338,Epaminondas,1975
14940,Figure It,1975
2256,The Magnificent Race,1975
32,Buffalo Chess,1975
1722,Caesar's Legions,1975
7771,En Garde!,1975
16435,General Quarters,1975
13920,Chickamauga  The Last Victory,1975
7590,Seastrike,1975
2088,Coup,1975
239,Wagram,1975
8751,Wurzburg,1975
4011,Jerusalem!,1975
10884,White Bear & Red Moon,1975
5383,MechWar '77,1975
2427,Skirmish,1975
4236,Dreadnought,1975
2249,The Sinking of the Titanic,1975
2559,Cul-de-Sac,1975
8742,1815  The Waterloo Campaign,1975
8509,Viking,1975
4125,The Punic Wars,1975
8036,Legion,1975
1547,Janus,1975
10301,The Battle of Nations  The Encirclement at Leipzig,1975
8723,Crimea,1975
7640,The Fall of Tobruk,1975
38886,Boot Hill,1975
573,Grand Prix,1975
8033,Search & Destroy,1975
11500,Spartan,1975
2409,Duell,1975
2047,Up the Creek,1975
12478,World War II,1975
11011,Ancient Conquest,1975
4650,Across the Board,1975
7558,Knights at War,1975
17054,Pegs and Jokers,1975
8424,Panzer '44,1975
13881,Marengo  Napoleon in Italy,1975
6360,Antietam  The Bloodiest Day,1975
8747,Chinese Farm,1975
11499,Chariot,1975
8743,Saipan,1975
13919,Shiloh  The Battle for Tennessee,1975
7723,Yeoman,1975
7557,Battlegame Book 1  The Wild West,1975
8748,Golan,1975
8749,Mukden,1975
2209,Klondike,1975
3716,Tractics,1975
